layer	component	fro	rank	token	token_id	score
52	q_b_proj	29021.5	1	-positive	44081	64406184.000
52	q_b_proj	29021.5	2	 Turkish	32171	64389680.000
52	q_b_proj	29021.5	3	 beg	3187	61903712.000
52	q_b_proj	29021.5	4	_mean	99917	61606540.000
52	q_b_proj	29021.5	5	 maintain	4997	60546352.000
54	q_b_proj	28515.3	1	{equation	54451	64374248.000
54	q_b_proj	28515.3	2	 phenotypic	78876	62541616.000
54	q_b_proj	28515.3	3	ennial	32779	61736992.000
54	q_b_proj	28515.3	4	partial	14004	55345864.000
54	q_b_proj	28515.3	5	(type	36750	54302276.000
40	q_b_proj	27861.6	1	 abusive	67333	50869748.000
40	q_b_proj	27861.6	2	(en	87534	49595648.000
40	q_b_proj	27861.6	3	New	5840	49520060.000
40	q_b_proj	27861.6	4	_new	48300	47645016.000
40	q_b_proj	27861.6	5	(np	59396	47349532.000
43	q_b_proj	27252.6	1	 reg	1250	62030764.000
43	q_b_proj	27252.6	2	(np	59396	54681512.000
43	q_b_proj	27252.6	3	xff	50136	51499408.000
43	q_b_proj	27252.6	4	 grown	14376	51248736.000
43	q_b_proj	27252.6	5	Coll	29199	50798404.000
46	q_b_proj	27225.1	1	 bool	12270	47438140.000
46	q_b_proj	27225.1	2	contain	14489	47002032.000
46	q_b_proj	27225.1	3	 corresponding	9453	46486340.000
46	q_b_proj	27225.1	4	 maintain	4997	44733200.000
46	q_b_proj	27225.1	5	_mean	99917	44183408.000
55	q_b_proj	26503.0	1	 Get	6757	61352776.000
55	q_b_proj	26503.0	2	 Jose	28967	58256184.000
55	q_b_proj	26503.0	3	Compute	109268	57742324.000
55	q_b_proj	26503.0	4	ynch	95986	57675996.000
55	q_b_proj	26503.0	5	 Compute	60919	57588024.000
42	q_b_proj	25293.0	1	 Try	18192	50662720.000
42	q_b_proj	25293.0	2	 Parse	82630	47080460.000
42	q_b_proj	25293.0	3	 parse	27438	46306844.000
42	q_b_proj	25293.0	4	(response	41065	45284884.000
42	q_b_proj	25293.0	5	 log	2912	43751904.000
45	q_b_proj	25241.4	1	/lang	44136	41613644.000
45	q_b_proj	25241.4	2	 REVIEW	71463	38304988.000
45	q_b_proj	25241.4	3	typed	27212	36775664.000
45	q_b_proj	25241.4	4	zza	33727	36167180.000
45	q_b_proj	25241.4	5	.Json	64878	35731036.000
8	q_b_proj	24684.8	1	static	15514	71905560.000
8	q_b_proj	24684.8	2	(const	18121	61985940.000
8	q_b_proj	24684.8	3	original	23844	57462416.000
8	q_b_proj	24684.8	4	 Static	65829	53383280.000
8	q_b_proj	24684.8	5	oggle	31931	53219036.000
13	q_b_proj	24161.0	1	_POSTSUPERSCRIPT	38195	60003996.000
13	q_b_proj	24161.0	2	 HTTP	33118	55309440.000
13	q_b_proj	24161.0	3	_pro	20006	55301336.000
13	q_b_proj	24161.0	4	 proposes	40902	51986084.000
13	q_b_proj	24161.0	5	AST	36118	49240704.000
35	q_b_proj	24145.2	1	 Pom	34892	40934916.000
35	q_b_proj	24145.2	2	 ctx	50325	40220816.000
35	q_b_proj	24145.2	3	xff	50136	39068308.000
35	q_b_proj	24145.2	4	kar	22023	38921280.000
35	q_b_proj	24145.2	5	.DataFrame	76842	38889768.000
9	q_b_proj	24127.3	1	 href	8590	54073956.000
9	q_b_proj	24127.3	2	hline	11141	53889812.000
9	q_b_proj	24127.3	3	\\frac	27406	53017800.000
9	q_b_proj	24127.3	4	 entire	5221	52801896.000
9	q_b_proj	24127.3	5	 Shan	59892	50183064.000
41	q_b_proj	23819.6	1	_reg	52562	44764504.000
41	q_b_proj	23819.6	2	 tell	4575	44517872.000
41	q_b_proj	23819.6	3	 Mont	10399	44454320.000
41	q_b_proj	23819.6	4	 await	11864	44074548.000
41	q_b_proj	23819.6	5	 roll	7900	44027472.000
47	q_b_proj	23798.5	1	 stronger	17020	44766248.000
47	q_b_proj	23798.5	2	 Constellation	114435	44546404.000
47	q_b_proj	23798.5	3	apt	2584	42594088.000
47	q_b_proj	23798.5	4	 Burn	31651	42209988.000
47	q_b_proj	23798.5	5	 Christopher	29738	41934272.000
39	q_b_proj	22606.8	1	(np	59396	47083752.000
39	q_b_proj	22606.8	2	 grown	14376	45485252.000
39	q_b_proj	22606.8	3	.gl	65314	44045924.000
39	q_b_proj	22606.8	4	_by	26374	43486028.000
39	q_b_proj	22606.8	5	 run	2632	42344368.000
14	q_b_proj	22218.8	1	 Vas	35604	59204404.000
14	q_b_proj	22218.8	2	 italic	19202	55954884.000
14	q_b_proj	22218.8	3	 DHCP	94431	48399860.000
14	q_b_proj	22218.8	4	 Abbas	86960	44941248.000
14	q_b_proj	22218.8	5	-disable	115518	42840416.000
38	q_b_proj	22169.6	1	 reg	1250	52589168.000
38	q_b_proj	22169.6	2	_sub	35900	47070988.000
38	q_b_proj	22169.6	3	acity	15912	46411564.000
38	q_b_proj	22169.6	4	_reg	52562	46394476.000
38	q_b_proj	22169.6	5	(get	35603	44377444.000
51	q_b_proj	22127.8	1	 Diss	36650	42281032.000
51	q_b_proj	22127.8	2	.ui	73860	41722748.000
51	q_b_proj	22127.8	3	Music	41368	41231872.000
51	q_b_proj	22127.8	4	 nearby	18310	39325208.000
51	q_b_proj	22127.8	5	 Franz	48366	38729688.000
44	q_b_proj	22029.9	1	.EntityFrameworkCore	85082	44136860.000
44	q_b_proj	22029.9	2	 purified	49732	40749096.000
44	q_b_proj	22029.9	3	Language	25049	39934780.000
44	q_b_proj	22029.9	4	 Solve	22323	39462012.000
44	q_b_proj	22029.9	5	 Make	12025	39346516.000
34	q_b_proj	21645.3	1	 Brief	32124	33051344.000
34	q_b_proj	21645.3	2	 prioritize	33852	31360864.000
34	q_b_proj	21645.3	3	 ctx	50325	30983236.000
34	q_b_proj	21645.3	4	.dto	75277	30908508.000
34	q_b_proj	21645.3	5	 medio	39320	30339350.000
11	q_b_proj	21556.7	1	 Week	14159	43694660.000
11	q_b_proj	21556.7	2	omeric	82956	42492148.000
11	q_b_proj	21556.7	3	 Rover	93075	40448992.000
11	q_b_proj	21556.7	4	 Oct	4466	39982424.000
11	q_b_proj	21556.7	5	Nov	19361	39253340.000
56	q_b_proj	21214.9	1	.String	38962	41539752.000
56	q_b_proj	21214.9	2	-building	51685	40926756.000
56	q_b_proj	21214.9	3	 enormous	25896	39260244.000
56	q_b_proj	21214.9	4	 Nicht	111201	38410768.000
56	q_b_proj	21214.9	5	 outset	68187	38368032.000
33	q_b_proj	21111.8	1	 seemingly	28848	45359212.000
33	q_b_proj	21111.8	2	 Crossing	92457	41271104.000
33	q_b_proj	21111.8	3	 Request	23104	40865988.000
33	q_b_proj	21111.8	4	.Page	88189	40599588.000
33	q_b_proj	21111.8	5	(Math	69382	40344524.000
23	q_b_proj	20407.8	1	 ctx	50325	32950706.000
23	q_b_proj	20407.8	2	 Bass	42804	29565996.000
23	q_b_proj	20407.8	3	 feel	2929	28740326.000
23	q_b_proj	20407.8	4	 Stream	30700	28331418.000
23	q_b_proj	20407.8	5	 fru	53324	27729300.000
36	q_b_proj	20141.2	1	 Gil	21892	33415454.000
36	q_b_proj	20141.2	2	glob	86091	32225620.000
36	q_b_proj	20141.2	3	 worksheet	9999	31582904.000
36	q_b_proj	20141.2	4	_RE	38894	30646690.000
36	q_b_proj	20141.2	5	(np	59396	28786000.000
58	q_b_proj	19720.6	1	.web	28419	51346500.000
58	q_b_proj	19720.6	2	-area	73162	49960016.000
58	q_b_proj	19720.6	3	 numpy	37369	49947528.000
58	q_b_proj	19720.6	4	 Inf	11649	49567156.000
58	q_b_proj	19720.6	5	 mga	14627	48988672.000
37	q_b_proj	19485.0	1	 imports	32341	34463064.000
37	q_b_proj	19485.0	2	_reg	52562	33127748.000
37	q_b_proj	19485.0	3	 failed	10815	33064514.000
37	q_b_proj	19485.0	4	models	27280	32581554.000
37	q_b_proj	19485.0	5	Vari	52102	32252006.000
30	q_b_proj	19477.1	1	 Num	41421	27471554.000
30	q_b_proj	19477.1	2	 Hipp	55872	27413026.000
30	q_b_proj	19477.1	3	/form	106223	27216326.000
30	q_b_proj	19477.1	4	 Form	6121	26594198.000
30	q_b_proj	19477.1	5	Credit	53999	26492806.000
59	q_b_proj	19402.2	1	 Lang	22131	22661986.000
59	q_b_proj	19402.2	2	 Natural	11668	21611550.000
59	q_b_proj	19402.2	3	 Cultural	23797	20361284.000
59	q_b_proj	19402.2	4	 Property	23188	20262898.000
59	q_b_proj	19402.2	5	mathcal	11838	20158606.000
53	q_b_proj	18315.1	1	 Environmental	15889	21414614.000
53	q_b_proj	18315.1	2	 Pers	11880	21376800.000
53	q_b_proj	18315.1	3	ICAgICAgICAgICAg	72453	20891938.000
53	q_b_proj	18315.1	4	 Mus	6395	20549874.000
53	q_b_proj	18315.1	5	 Gaussian	41005	19766046.000
32	q_b_proj	17677.8	1	=False	34985	30975276.000
32	q_b_proj	17677.8	2	 Mor	6784	30831258.000
32	q_b_proj	17677.8	3	 continued	8361	29788504.000
32	q_b_proj	17677.8	4	 consequently	37751	29554722.000
32	q_b_proj	17677.8	5	 await	11864	28712022.000
16	q_b_proj	17432.6	1	_com	42557	36374176.000
16	q_b_proj	17432.6	2	 resp	1451	32461064.000
16	q_b_proj	17432.6	3	.se	22740	31839114.000
16	q_b_proj	17432.6	4	 pore	46359	31732836.000
16	q_b_proj	17432.6	5	Multiple	56682	30302206.000
57	q_b_proj	17166.9	1	 torch	34536	27886508.000
57	q_b_proj	17166.9	2	Past	58869	25249248.000
57	q_b_proj	17166.9	3	 Gazette	57832	24544164.000
57	q_b_proj	17166.9	4	<User	65688	24383802.000
57	q_b_proj	17166.9	5	 uint	25985	24143610.000
60	q_b_proj	16783.3	1	 Nav	13412	36107712.000
60	q_b_proj	16783.3	2	 Gauss	33232	25098430.000
60	q_b_proj	16783.3	3	 Carol	11962	24880150.000
60	q_b_proj	16783.3	4	 Civ	44005	23876852.000
60	q_b_proj	16783.3	5	Previously	116672	23757962.000
19	q_b_proj	16716.5	1	 temperature	5169	27621622.000
19	q_b_proj	16716.5	2	 temperatures	13848	27081976.000
19	q_b_proj	16716.5	3	 rep	1998	26282088.000
19	q_b_proj	16716.5	4	 overall	6492	26145302.000
19	q_b_proj	16716.5	5	 cover	4508	26104272.000
22	q_b_proj	16711.4	1	 italic	19202	28508498.000
22	q_b_proj	16711.4	2	 marsh	55881	25794196.000
22	q_b_proj	16711.4	3	_category	79396	25555086.000
22	q_b_proj	16711.4	4	issue	29120	23671292.000
22	q_b_proj	16711.4	5	(dist	116194	23499744.000
25	q_b_proj	16285.4	1	 lamb	44468	21612956.000
25	q_b_proj	16285.4	2	mixed	122545	20685534.000
25	q_b_proj	16285.4	3	 Ric	30986	20604428.000
25	q_b_proj	16285.4	4	bridge	38612	20292358.000
25	q_b_proj	16285.4	5	 tobacco	29992	20066374.000
17	q_b_proj	15933.3	1	_POSTSUPERSCRIPT	38195	40000972.000
17	q_b_proj	15933.3	2	 prz	12081	37971068.000
17	q_b_proj	15933.3	3	mathbf	8901	35690036.000
17	q_b_proj	15933.3	4	 HttpClient	89549	32251056.000
17	q_b_proj	15933.3	5	 Gor	46526	31399926.000
27	q_b_proj	15917.9	1	Mock	52417	25844388.000
27	q_b_proj	15917.9	2	 allowing	10228	21445862.000
27	q_b_proj	15917.9	3	 iOS	39815	20780728.000
27	q_b_proj	15917.9	4	 telling	15070	20330682.000
27	q_b_proj	15917.9	5	 Allows	125017	19855484.000
31	q_b_proj	15763.3	1	 fixing	43689	23241164.000
31	q_b_proj	15763.3	2	 Many	8647	22516618.000
31	q_b_proj	15763.3	3	/lang	44136	22382546.000
31	q_b_proj	15763.3	4	Reverse	86851	20945258.000
31	q_b_proj	15763.3	5	Changing	103469	20780834.000
26	q_b_proj	15717.5	1	 dic	31943	21685148.000
26	q_b_proj	15717.5	2	 behavioral	22817	19222356.000
26	q_b_proj	15717.5	3	 guaranteed	32668	17932162.000
26	q_b_proj	15717.5	4	Interceptor	112944	17925484.000
26	q_b_proj	15717.5	5	 Kir	25056	17853386.000
29	q_b_proj	15644.5	1	 poor	7066	20674612.000
29	q_b_proj	15644.5	2	 knock	18558	19518750.000
29	q_b_proj	15644.5	3	 ctx	50325	19480134.000
29	q_b_proj	15644.5	4	 Anne	20815	19420198.000
29	q_b_proj	15644.5	5	(post	109159	19366702.000
28	q_b_proj	15601.2	1	Cmd	92195	24231594.000
28	q_b_proj	15601.2	2	 Douglas	31125	22329970.000
28	q_b_proj	15601.2	3	 tri	2557	22036030.000
28	q_b_proj	15601.2	4	 mis	6521	21915792.000
28	q_b_proj	15601.2	5	 Tri	12782	21399860.000
15	q_b_proj	15509.8	1	 encoded	40178	24256590.000
15	q_b_proj	15509.8	2	 lining	46266	24113154.000
15	q_b_proj	15509.8	3	 href	8590	23971114.000
15	q_b_proj	15509.8	4	holder	14646	23542564.000
15	q_b_proj	15509.8	5	double	20563	23326778.000
24	q_b_proj	15383.2	1	_BU	102833	27055852.000
24	q_b_proj	15383.2	2	adal	51787	23280492.000
24	q_b_proj	15383.2	3	 Miranda	67200	23188662.000
24	q_b_proj	15383.2	4	Tal	88419	19924612.000
24	q_b_proj	15383.2	5	 porte	69081	19638046.000
52	q_a_proj	15122.2	1	.Request	50905	2230.594
52	q_a_proj	15122.2	2	 Kim	15262	2159.871
52	q_a_proj	15122.2	3	 Beer	62960	2143.061
52	q_a_proj	15122.2	4	mult	16640	2017.895
52	q_a_proj	15122.2	5	Null	21650	2006.514
21	q_b_proj	15067.0	1	 elif	19132	25853226.000
21	q_b_proj	15067.0	2	 theo	84937	23795914.000
21	q_b_proj	15067.0	3	(np	59396	22914558.000
21	q_b_proj	15067.0	4	 Imp	12241	22612822.000
21	q_b_proj	15067.0	5	 among	3611	22579236.000
20	q_b_proj	14987.0	1	 Cor	4753	24455220.000
20	q_b_proj	14987.0	2	 Mag	9274	22089016.000
20	q_b_proj	14987.0	3	_back	19271	21939862.000
20	q_b_proj	14987.0	4	 mag	6238	21885196.000
20	q_b_proj	14987.0	5	 theo	84937	21528218.000
60	q_a_proj	14979.3	1	 Battle	25616	2244.769
60	q_a_proj	14979.3	2	 Graph	16624	2189.752
60	q_a_proj	14979.3	3	_term	106131	2139.435
60	q_a_proj	14979.3	4	 inc	2871	2137.348
60	q_a_proj	14979.3	5	 Bey	71482	2119.918
58	q_a_proj	14114.6	1	umin	9818	2182.891
58	q_a_proj	14114.6	2	 geological	52503	2107.840
58	q_a_proj	14114.6	3	 knees	31338	2089.972
58	q_a_proj	14114.6	4	 Mall	37233	2068.340
58	q_a_proj	14114.6	5	 backdrop	52312	2053.831
18	q_b_proj	13781.8	1	anz	12455	23006302.000
18	q_b_proj	13781.8	2	 waving	75570	20203922.000
18	q_b_proj	13781.8	3	 Burg	38404	19819502.000
18	q_b_proj	13781.8	4	Descript	42361	19334960.000
18	q_b_proj	13781.8	5	annot	49685	18974500.000
59	q_a_proj	12607.3	1	_SU	52161	2050.181
59	q_a_proj	12607.3	2	 hiking	43112	1907.399
59	q_a_proj	12607.3	3	 Pfe	98726	1799.954
59	q_a_proj	12607.3	4	 Douglas	31125	1721.224
59	q_a_proj	12607.3	5	 smoked	68135	1713.092
51	q_a_proj	11991.3	1	<empty	43572	1854.324
51	q_a_proj	11991.3	2	Add	6340	1688.370
51	q_a_proj	11991.3	3	 Unique	58358	1637.004
51	q_a_proj	11991.3	4	 Kier	108546	1626.897
51	q_a_proj	11991.3	5	/issues	90555	1577.957
48	q_a_proj	11890.3	1	 Gro	19460	1818.589
48	q_a_proj	11890.3	2	Capital	59201	1801.684
48	q_a_proj	11890.3	3	 Capital	18904	1673.120
48	q_a_proj	11890.3	4	.error	37664	1642.246
48	q_a_proj	11890.3	5	 commercial	9920	1628.202
45	q_a_proj	11716.2	1	 UnityEngine	52753	1949.587
45	q_a_proj	11716.2	2	 Khan	26884	1774.516
45	q_a_proj	11716.2	3	 Jade	91020	1724.165
45	q_a_proj	11716.2	4	 cont	712	1693.461
45	q_a_proj	11716.2	5	 Poz	57256	1645.419
56	q_a_proj	11387.2	1	 neg	3742	1508.968
56	q_a_proj	11387.2	2	 sediment	26928	1494.224
56	q_a_proj	11387.2	3	elly	16466	1446.967
56	q_a_proj	11387.2	4	 technical	10021	1417.477
56	q_a_proj	11387.2	5	_main	83444	1411.201
50	q_a_proj	11374.9	1	Score	26824	1856.900
50	q_a_proj	11374.9	2	_se	30523	1802.597
50	q_a_proj	11374.9	3	 Score	29700	1571.994
50	q_a_proj	11374.9	4	/images	49099	1516.878
50	q_a_proj	11374.9	5	nodes	90202	1460.745
57	q_a_proj	11085.2	1	ocy	18140	1508.484
57	q_a_proj	11085.2	2	 fre	10236	1462.305
57	q_a_proj	11085.2	3	Please	12473	1450.958
57	q_a_proj	11085.2	4	 Single	24266	1431.724
57	q_a_proj	11085.2	5	esar	32856	1402.872
54	q_a_proj	10968.1	1	 quantity	14700	1725.956
54	q_a_proj	10968.1	2	 intrinsic	33406	1465.944
54	q_a_proj	10968.1	3	 gameplay	51321	1439.919
54	q_a_proj	10968.1	4	elk	113667	1416.479
54	q_a_proj	10968.1	5	 enjoy	5465	1402.153
44	q_a_proj	10557.5	1	 Den	9974	1419.997
44	q_a_proj	10557.5	2	 Moving	49169	1354.283
44	q_a_proj	10557.5	3	 comput	3944	1336.299
44	q_a_proj	10557.5	4	 nearest	17301	1273.745
44	q_a_proj	10557.5	5	 Gray	33279	1250.069
49	q_a_proj	10429.6	1	 pure	11367	1542.992
49	q_a_proj	10429.6	2	Serial	25717	1388.605
49	q_a_proj	10429.6	3	XML	52390	1378.020
49	q_a_proj	10429.6	4	 Ginger	86156	1353.832
49	q_a_proj	10429.6	5	 Eligibility	91037	1341.113
41	q_a_proj	10381.5	1	 Trinidad	83200	1376.718
41	q_a_proj	10381.5	2	complete	50359	1278.972
41	q_a_proj	10381.5	3	 Sep	14722	1273.186
41	q_a_proj	10381.5	4	.internal	114845	1252.041
41	q_a_proj	10381.5	5	 Oak	30739	1244.712
47	q_a_proj	9764.1	1	abil	7816	1511.335
47	q_a_proj	9764.1	2	 Databases	120201	1283.058
47	q_a_proj	9764.1	3	ether	14158	1271.461
47	q_a_proj	9764.1	4	 Defense	27365	1266.625
47	q_a_proj	9764.1	5	.pl	39760	1228.522
37	q_a_proj	9090.3	1	async	41072	1268.355
37	q_a_proj	9090.3	2	 International	5625	1251.047
37	q_a_proj	9090.3	3	 Queen	18640	1248.061
37	q_a_proj	9090.3	4	 particle	16706	1237.032
37	q_a_proj	9090.3	5	 considerations	21221	1217.603
3	q_a_proj	8912.2	1	ron	1867	3161.024
3	q_a_proj	8912.2	2	oon	6582	2948.696
3	q_a_proj	8912.2	3	rine	14731	2910.697
3	q_a_proj	8912.2	4	room	5638	2897.423
3	q_a_proj	8912.2	5	acion	19833	2827.728
46	q_a_proj	8445.2	1	 Parker	35351	1270.803
46	q_a_proj	8445.2	2	 Pap	24424	1249.703
46	q_a_proj	8445.2	3	_CO	27572	1175.108
46	q_a_proj	8445.2	4	Pap	101899	1155.026
46	q_a_proj	8445.2	5	 Fry	57611	1146.329
40	q_a_proj	8221.7	1	 dynamical	67210	933.429
40	q_a_proj	8221.7	2	 marginal	21783	932.924
40	q_a_proj	8221.7	3	 Immediate	108904	922.282
40	q_a_proj	8221.7	4	 newspaper	21781	916.136
40	q_a_proj	8221.7	5	 android	15838	904.690
2	q_a_proj	8181.9	1	int	650	2453.206
2	q_a_proj	8181.9	2	.Web	38654	2344.731
2	q_a_proj	8181.9	3	con	729	2344.243
2	q_a_proj	8181.9	4	Int	4796	2306.773
2	q_a_proj	8181.9	5	col	3441	2267.684
36	q_a_proj	7963.1	1	 Single	24266	899.511
36	q_a_proj	7963.1	2	 frag	11051	895.391
36	q_a_proj	7963.1	3	 any	1117	882.207
36	q_a_proj	7963.1	4	ership	4965	871.469
36	q_a_proj	7963.1	5	 headed	21273	867.272
38	q_a_proj	7518.6	1	Clark	103967	1125.909
38	q_a_proj	7518.6	2	 refuse	32545	1108.666
38	q_a_proj	7518.6	3	 simplified	30349	1040.532
38	q_a_proj	7518.6	4	 Attributes	86450	1012.946
38	q_a_proj	7518.6	5	beat	36993	998.734
9	q_a_proj	7126.5	1	 finite	19823	1092.174
9	q_a_proj	7126.5	2	 inferior	30042	1078.481
9	q_a_proj	7126.5	3	 constitution	15958	1062.080
9	q_a_proj	7126.5	4	 Dean	28591	1034.680
9	q_a_proj	7126.5	5	.apache	36261	1012.254
55	q_a_proj	6916.6	1	 yang	4292	910.048
55	q_a_proj	6916.6	2	 widespread	21082	903.447
55	q_a_proj	6916.6	3	Oxford	47729	832.202
55	q_a_proj	6916.6	4	 significantly	7572	829.010
55	q_a_proj	6916.6	5	quist	57939	819.256
5	q_a_proj	6818.1	1	Describe	72188	1757.868
5	q_a_proj	6818.1	2	.IO	45497	1501.752
5	q_a_proj	6818.1	3	.io	16135	1444.739
5	q_a_proj	6818.1	5	 boolean	14468	1327.938
14	q_a_proj	6808.4	1	 sector	9117	1020.496
14	q_a_proj	6808.4	2	Cor	14446	986.029
14	q_a_proj	6808.4	3	 Cor	4753	968.902
14	q_a_proj	6808.4	4	.util	9953	895.787
14	q_a_proj	6808.4	5	base	14707	889.647
10	q_a_proj	6732.5	1	 Step	8850	1123.404
10	q_a_proj	6732.5	2	 Rou	39954	965.197
10	q_a_proj	6732.5	3	Friday	41060	940.862
10	q_a_proj	6732.5	4	Step	9832	877.096
10	q_a_proj	6732.5	5	.columns	108390	859.861
42	q_a_proj	6700.2	1	 Dare	122976	722.794
42	q_a_proj	6700.2	2	 italic	19202	708.592
42	q_a_proj	6700.2	3	 bew	35181	705.383
42	q_a_proj	6700.2	4	 Massachusetts	23118	637.370
42	q_a_proj	6700.2	5	 possibilities	19782	635.724
39	q_a_proj	6673.0	1	National	21972	1000.717
39	q_a_proj	6673.0	2	 ionic	39584	867.180
39	q_a_proj	6673.0	3	 pedal	72093	844.331
39	q_a_proj	6673.0	4	params	20579	835.621
39	q_a_proj	6673.0	5	container	22170	833.916
34	q_a_proj	6618.6	1	September	26933	777.702
34	q_a_proj	6618.6	2	 smoothly	42379	736.017
34	q_a_proj	6618.6	3	 clothes	17273	728.355
34	q_a_proj	6618.6	4	 ged	35481	719.379
34	q_a_proj	6618.6	5	 Tou	54959	709.727
7	q_a_proj	6590.9	1	 inner	11544	871.325
7	q_a_proj	6590.9	2	.sc	27435	857.555
7	q_a_proj	6590.9	3	oney	3690	854.165
7	q_a_proj	6590.9	4	 Steve	20713	851.916
7	q_a_proj	6590.9	5	 rallied	109047	847.986
8	q_a_proj	6525.8	1	 Management	7967	1198.717
8	q_a_proj	6525.8	2	 Step	8850	1184.717
8	q_a_proj	6525.8	3	 Further	8847	1147.777
8	q_a_proj	6525.8	4	 fundamental	11264	1101.241
8	q_a_proj	6525.8	5	Text	7233	1093.626
13	q_a_proj	6514.9	1	 GIS	60233	908.000
13	q_a_proj	6514.9	2	 progressively	59683	874.909
13	q_a_proj	6514.9	3	Tool	42639	872.990
13	q_a_proj	6514.9	4	Other	13079	871.044
13	q_a_proj	6514.9	5	 Dam	16417	847.075
53	q_a_proj	6513.5	1	.security	63740	823.084
53	q_a_proj	6513.5	2	 broader	21239	806.831
53	q_a_proj	6513.5	3	.application	122799	771.122
53	q_a_proj	6513.5	4	efore	8286	770.900
53	q_a_proj	6513.5	5	/st	39619	756.199
43	q_a_proj	6461.3	1	extension	48711	717.577
43	q_a_proj	6461.3	2	 Bren	47606	676.871
43	q_a_proj	6461.3	3	 Wen	50393	660.973
43	q_a_proj	6461.3	4	 fishermen	77605	647.708
43	q_a_proj	6461.3	5	 explained	10785	647.045
6	q_a_proj	6345.9	1	 tub	13292	985.593
6	q_a_proj	6345.9	2	Describe	72188	953.129
6	q_a_proj	6345.9	3	 pair	9069	950.336
6	q_a_proj	6345.9	4	git	30139	917.748
6	q_a_proj	6345.9	5	 ser	1819	914.171
